synset_name,definition,extracted key phrases,folder_name,Extended Description,Extended Key Phrases,Class Name,key_phrase_1,key_phrase_2,key_phrase_3
tench,freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water,dace-like game fish ,n01440764,"['- Body elongated, rounded and flattened from side to side', '- Scales are small and cycloid', '- Dorsal fin is long and pointed', '- Anal fin is long and pointed', '- Pectoral and pelvic fins are small', '- Mouth is small and terminal', '- Teeth are small and pointed', '- Eyes are small and bead-like', '- Fins are dark brown or black', '- Body is usually greenish-brown or yellow']","[""elongated body shape,"", ""small, cycloid scales,"", ""dark brown or black fins""]",tench,tench with elongated body shape,"tench with small, cycloid scales",tench with dark brown or black fins
goldfish,small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes,small golden or orange-red freshwater fishes,n01443537,"['Goldfish are small, peaceful freshwater fish that are native to East Asia. They are typically golden or orange-red in color, with a rounded body and a small tail. They have a distinctive dorsal fin and a long, flowing anal fin. Goldfish are popular aquarium fish due to their small size, peaceful nature, and ability to thrive in a variety of water conditions. They are also popular as pond fish, where they can be kept in small schools and can be fed a variety of foods, including']","[""flattened body shape,"", ""rounded head,"", ""small, cycloid scales,""]",goldfish,goldfish with flattened body shape,goldfish with rounded head,"goldfish with small, cycloid scales"
great_white_shark,large aggressive shark widespread in warm seas; known to attack humans,large aggressive shark widespread in warm seas,n01484850,"['- Body shape: streamlined, torpedo-shaped', '- Size: typically 15-20 feet (4.5-6 meters) in length', '- Color: grayish-white with a distinctive white belly', '- Teeth: large, triangular, and serrated', '- Feeding habits: primarily feeds on fish, squid, and other marine animals', '- Habitat: found in warm, temperate, and tropical seas worldwide', '- Behavior: solitary, ambush predator that uses speed']","[""streamlined body shape,"", ""small, tooth-like scales,"", ""white underbelly with gray back""]",great white shark,great white shark with streamlined body shape,"great white shark with small, tooth-like scales",great white shark with white underbelly with gray back
tiger_shark,large dangerous warm-water shark with striped or spotted body,large warm-water shark with striped or spotted body,n01491361,"[""tiger_shark is a large, aggressive shark that inhabits warm waters around the world. Its body is long and slender, with a distinctive striped or spotted pattern that helps it blend in with its surroundings. The shark's head is broad and flat, with a pointed snout and a pair of small, beady eyes. Its jaws are powerful and lined with sharp, pointed teeth that are designed for catching and eating prey. The tiger_shark is a formidable predator that is feared by many other marine""]","[""streamlined body shape,"", ""small, tooth-like scales,"", ""dark gray or brown color with white belly""]",tiger shark,tiger shark with streamlined body shape,"tiger shark with small, tooth-like scales",tiger shark with dark gray or brown color with white belly
hammerhead,medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head; worldwide in warm waters; can be dangerous,hammer-shaped shark with eyes at either end,n01494475,"['A hammerhead is a medium-sized, live-bearing shark that is characterized by its distinctive hammer-shaped head. The head is flattened and broad, with the eyes located at the ends of the hammer. This unique head shape allows the shark to have a wider field of vision, which is thought to be an adaptation for hunting in schools. The body of the hammerhead is torpedo-shaped, with a pointed snout and a long, pointed tail. The shark is found in warm waters around the world, and']","[""triangular head shape,"", ""distinctive lateral extensions,"", ""dark gray or brown color""]",hammerhead shark,hammerhead shark with triangular head shape,hammerhead shark with distinctive lateral extensions,hammerhead shark with dark gray or brown color
electric_ray,any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges,sluggish bottom-dwelling ray with electric,n01496331,"['The electric ray is a type of fish that belongs to the order Torpediniformes. It has a rounded body that is usually brown or gray in color, and it is characterized by its ability to emit strong electric discharges from electric organs located on each side of its head. The electric ray is a sluggish fish that spends most of its time on the bottom of the ocean floor, where it uses its electric organs to detect prey and defend itself from predators. It is a relatively small fish,']","[""elongated, torpedo-shaped body,"", ""small, cycloid scales,"", ""distinctive electric blue color pattern""]",electric ray,"electric ray with elongated, torpedo-shaped body","electric ray with small, cycloid scales",electric ray with distinctive electric blue color pattern
stingray,large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds,venomous ray with large barbed spines near the base of a thin whiplike tail,n01498041,"['Stingrays are flat, disk-shaped fish that live in shallow waters. They have a flat, broad body with a long, thin tail that they use to swim and maneuver. The tail is covered in barbed spines that can inflict severe wounds if stepped on. Stingrays are generally gray or brown in color, and have a distinctive pattern of spots or stripes on their back. They are nocturnal, spending most of their time buried in the sand or mud, and are known for their ability to']","[""flattened body shape,"", ""rounded head,"", ""small, cycloid scales,""]",stingray,stingray with flattened body shape,stingray with rounded head,"stingray with small, cycloid scales"
cock,adult male bird,male bird,n01514668,"[""A cock is a male bird, typically with a brightly colored plumage and a distinctive crest on its head. The cock's body is usually larger than that of a female, and it has a more prominent beak and legs. The cock's feathers are often brightly colored, with shades of red, blue, and green, and it may have a distinctive pattern of feathers on its back or wings. The cock's crest is usually raised when it is excited or threatened, and it may also use its""]","[""flattened body shape,"", ""feathered head,"", ""distinctive crest on head""]",rooster,rooster with flattened body shape,rooster with feathered head,rooster with distinctive crest on head
hen,adult female bird,adult female bird,n01514859,"[""A hen is a female domestic chicken. It has a round body, covered in soft, fluffy feathers, and a small head with a beak. The hen's legs are short and strong, with three toes on each foot. The hen's plumage is usually a combination of brown, white, and black, with a distinctive comb on top of its head. The hen is a social animal and is often found in flocks with other hens and roosters. It lays eggs, which""]","[""flattened body shape,"", ""feathered plumage,"", ""beak""]",hen,hen with flattened body shape,hen with feathered plumage,hen with beak
ostrich,fast-running African flightless bird with two-toed feet; largest living bird,fast-running African flightless bird with two-toed feet,n01518878,"['Ostriches are large, flightless birds that are native to Africa. They have long, powerful legs and strong, two-toed feet that are well-suited for running. Their bodies are covered in soft, fluffy feathers that are a mix of brown, gray, and white colors. Ostriches have long necks and heads, with small eyes and a distinctive beak. They are known for their ability to run at high speeds, reaching up to 45 miles per hour,']","[""long neck,"", ""large, flat feet,"", ""soft, fluffy feathers""]",ostrich,ostrich with long neck,"ostrich with large, flat feet","ostrich with soft, fluffy feathers"
brambling,Eurasian finch,Eurasian finch,n01530575,"['- The brambling is a small to medium-sized bird with a brown back and wings, and a white belly.', '- It has a distinctive black head and throat, with a white stripe above the eye.', '- The beak is short and stout, and the legs are strong and pink.', '- The brambling is a migratory bird, and it is found in a variety of habitats, including forests, grasslands, and wetlands.', '- It is a social bird']","[""flattened body shape,"", ""small, rounded head,"", ""dark brown or black plumage with white wing bars""]",brambling,brambling with flattened body shape,"brambling with small, rounded head",brambling with dark brown or black plumage with white wing bars
goldfinch,small European finch having a crimson face and yellow-and-black wings,finch with a crimson face andy ellow-and-black wings,n01531178,"['A goldfinch is a small, delicate bird with a distinctive appearance. Its body is a warm, golden color with a crimson face and a black cap on its head. Its wings are yellow and black, with a distinctive pattern of black stripes on the wings and tail. The goldfinch has a long, pointed tail and a short, pointed beak. It is a social bird that lives in flocks and is known for its beautiful singing voice.', 'Class: Butterfly', 'Minimal']","[""yellow head and breast,"", ""black cap,"", ""white underside""]",goldfinch,goldfinch with yellow head and breast,goldfinch with black cap,goldfinch with white underside
house_finch,small finch originally of the western United States and Mexico,small finch,n01532829,"['- Body length: 4.5-5.5 inches', '- Weight: 0.4-0.6 ounces', '- Plumage: brown back, white belly, and a distinctive white stripe above the eye', '- Beak: conical and black', '- Legs: pinkish-gray', '- Habitat: open areas with grasses and weeds, such as fields, meadows, and backyards', '- Diet: seeds, grains, and insects']","[""brown back,"", ""white underside,"", ""black head with white stripe""]",house finch,house finch with brown back,house finch with white underside,house finch with black head with white stripe
junco,small North American finch seen chiefly in winter,small North American finch seen chiefly in,n01534433,"[""A junco is a small, plump bird with a round body and a short, pointed tail. It has a grayish-brown back and wings, with a white belly and a distinctive black hood on its head. The junco's beak is short and stout, and its legs are strong and pinkish-gray. It is a common winter visitor to backyards and gardens, where it can be seen searching for seeds and insects to eat. Juncos are social birds and often gather""]","[""small, rounded head,"", ""white outer tail feathers,"", ""dark gray back feathers with white outer edges""]",junco,"junco with small, rounded head",junco with white outer tail feathers,junco with dark gray back feathers with white outer edges
indigo_bunting,small deep blue North American bunting,small deep blue North American bunting,n01537544,"['* Length: 4.5-5.5 inches', '* Weight: 0.3-0.4 ounces', '* Wingspan: 8-10 inches', '* Plumage: deep blue with a black throat patch and white outer tail feathers', '* Habitat: open fields, meadows, and backyards with grass and weeds', '* Diet: seeds, insects, and fruits', '* Behavior: migrates in flocks, often in mixed-species']","[""iridescent blue plumage,"", ""white wing bars,"", ""black throat patch""]",indigo bunting,indigo bunting with iridescent blue plumage,indigo bunting with white wing bars,indigo bunting with black throat patch
robin,large American thrush having a rust-red breast and abdomen,American thrush with rust-red breast and abdomen,n01558993,"[""A robin is a medium-sized bird with a round body and a distinctive red breast. Its back is a mottled brown color, and its wings are a darker brown with a hint of red. The robin's head is round, with a short, pointed beak and a distinctive white eye ring. Its legs are strong and sturdy, with sharp claws for perching and grasping. The robin's song is a clear, melodic whistle, often heard in the early morning hours. The bird""]","[""rounded head,"", ""reddish-orange breast,"", ""brown back with white patches""]",American robin,American robin with rounded head,American robin with reddish-orange breast,American robin with brown back with white patches
